"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-01 00:00:00,="MAC030004005",1,"Channel 1",2,"West",671,16,"Holiday",,
2018-01-01 00:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004005",1,"Channel 1",2,"West",617,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004005",1,"Channel 1",2,"West",636,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004005",1,"Channel 1",2,"West",616,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004005",1,"Channel 1",2,"West",479,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004005",1,"Channel 1",2,"West",419,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004005",1,"Channel 1",2,"West",332,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004005",1,"Channel 1",2,"West",284,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004005",1,"Channel 1",2,"West",246,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004005",1,"Channel 1",2,"West",312,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004005",1,"Channel 1",2,"West",371,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004005",1,"Channel 1",2,"West",469,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004005",1,"Channel 1",2,"West",527,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004005",1,"Channel 1",2,"West",582,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004005",1,"Channel 1",2,"West",693,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004005",1,"Channel 1",2,"West",624,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004005",1,"Channel 1",2,"West",695,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004005",1,"Channel 1",2,"West",606,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004005",2,"Channel 2",2,"West",0,16,"Holiday",,
