"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-03-16 15:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 16:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7818,0,"",,
2018-03-16 16:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 17:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7200,0,"",,
2018-03-16 17:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 18:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6624,0,"",,
2018-03-16 18:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 19:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6455,0,"",,
2018-03-16 19:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 20:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6105,0,"",,
2018-03-16 20:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 21:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5624,0,"",,
2018-03-16 21:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 22:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6009,0,"",,
2018-03-16 22:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-16 23:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5567,0,"",,
2018-03-16 23:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 00:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5235,0,"",,
2018-03-17 00:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 01:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5130,0,"",,
2018-03-17 01:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 02:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5074,0,"",,
2018-03-17 02:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 03:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4945,0,"",,
2018-03-17 03:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 04:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4915,0,"",,
2018-03-17 04:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 05:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4835,0,"",,
2018-03-17 05:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 06:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",4897,0,"",,
2018-03-17 06:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 07:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5424,0,"",,
2018-03-17 07:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 08:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5756,0,"",,
2018-03-17 08:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 09:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5596,0,"",,
2018-03-17 09:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 10:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5988,0,"",,
2018-03-17 10:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 11:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5776,0,"",,
2018-03-17 11:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 12:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6623,0,"",,
2018-03-17 12:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 13:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",7026,0,"",,
2018-03-17 13:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 14:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6114,0,"",,
2018-03-17 14:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 15:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6510,0,"",,
2018-03-17 15:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 16:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6369,0,"",,
2018-03-17 16:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 17:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5970,0,"",,
2018-03-17 17:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 18:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6182,0,"",,
2018-03-17 18:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 19:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5870,0,"",,
2018-03-17 19:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 20:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",6093,0,"",,
2018-03-17 20:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 21:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5696,0,"",,
2018-03-17 21:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 22:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5576,0,"",,
2018-03-17 22:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-17 23:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5478,0,"",,
2018-03-17 23:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 00:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5437,0,"",,
2018-03-18 00:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 01:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5184,0,"",,
2018-03-18 01:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 02:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5400,0,"",,
2018-03-18 02:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 03:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5193,0,"",,
2018-03-18 03:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 04:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5254,0,"",,
2018-03-18 04:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 05:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5049,0,"",,
2018-03-18 05:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
2018-03-18 06:00:00,="MAC000001078",1,"Channel 1",2,"NorthWest",5295,0,"",,
2018-03-18 06:00:00,="MAC000001078",2,"Channel 2",1,"SouthEast",0,0,"",,
