"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-02 05:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 06:00:00,="MAC030004001",1,"Channel 1",2,"South",873,0,"",,
2018-01-02 06:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 07:00:00,="MAC030004001",1,"Channel 1",2,"South",1298,0,"",,
2018-01-02 07:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 08:00:00,="MAC030004001",1,"Channel 1",2,"South",1225,0,"",,
2018-01-02 08:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 09:00:00,="MAC030004001",1,"Channel 1",2,"South",1009,0,"",,
2018-01-02 09:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 10:00:00,="MAC030004001",1,"Channel 1",2,"South",1133,0,"",,
2018-01-02 10:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 11:00:00,="MAC030004001",1,"Channel 1",2,"South",1131,0,"",,
2018-01-02 11:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 12:00:00,="MAC030004001",1,"Channel 1",2,"South",1273,0,"",,
2018-01-02 12:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 13:00:00,="MAC030004001",1,"Channel 1",2,"South",1336,0,"",,
2018-01-02 13:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 14:00:00,="MAC030004001",1,"Channel 1",2,"South",1257,0,"",,
2018-01-02 14:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 15:00:00,="MAC030004001",1,"Channel 1",2,"South",1327,0,"",,
2018-01-02 15:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 16:00:00,="MAC030004001",1,"Channel 1",2,"South",1307,0,"",,
2018-01-02 16:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 17:00:00,="MAC030004001",1,"Channel 1",2,"South",1230,0,"",,
2018-01-02 17:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 18:00:00,="MAC030004001",1,"Channel 1",2,"South",1158,0,"",,
2018-01-02 18:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
2018-01-02 19:00:00,="MAC030004001",1,"Channel 1",2,"South",847,0,"",,
2018-01-02 19:00:00,="MAC030004001",2,"Channel 2",2,"South",0,0,"",,
