"Sdate","Cosit","LaneNumber","LaneDescription","LaneDirection","DirectionDescription","Volume","Flags","Flag Text","AvgSpeed","PmlHGV"
2018-01-01 00:00:00,="MAC030004473",1,"Channel 1",2,"East",341,16,"Holiday",,
2018-01-01 00:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004473",1,"Channel 1",2,"East",394,16,"Holiday",,
2018-01-01 01:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004473",1,"Channel 1",2,"East",306,16,"Holiday",,
2018-01-01 02:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004473",1,"Channel 1",2,"East",248,16,"Holiday",,
2018-01-01 03:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004473",1,"Channel 1",2,"East",232,16,"Holiday",,
2018-01-01 04:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004473",1,"Channel 1",2,"East",182,16,"Holiday",,
2018-01-01 05:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004473",1,"Channel 1",2,"East",198,16,"Holiday",,
2018-01-01 06:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004473",1,"Channel 1",2,"East",132,16,"Holiday",,
2018-01-01 07:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004473",1,"Channel 1",2,"East",174,16,"Holiday",,
2018-01-01 08:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004473",1,"Channel 1",2,"East",206,16,"Holiday",,
2018-01-01 09:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004473",1,"Channel 1",2,"East",238,16,"Holiday",,
2018-01-01 10:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004473",1,"Channel 1",2,"East",288,16,"Holiday",,
2018-01-01 11:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004473",1,"Channel 1",2,"East",440,16,"Holiday",,
2018-01-01 12:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004473",1,"Channel 1",2,"East",422,16,"Holiday",,
2018-01-01 13:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004473",1,"Channel 1",2,"East",497,16,"Holiday",,
2018-01-01 14:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004473",1,"Channel 1",2,"East",395,16,"Holiday",,
2018-01-01 15:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004473",1,"Channel 1",2,"East",382,16,"Holiday",,
2018-01-01 16:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004473",1,"Channel 1",2,"East",366,16,"Holiday",,
2018-01-01 17:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 18:00:00,="MAC030004473",1,"Channel 1",2,"East",434,16,"Holiday",,
2018-01-01 18:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 19:00:00,="MAC030004473",1,"Channel 1",2,"East",352,16,"Holiday",,
2018-01-01 19:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 20:00:00,="MAC030004473",1,"Channel 1",2,"East",306,16,"Holiday",,
2018-01-01 20:00:00,="MAC030004473",2,"Channel 2",2,"East",0,16,"Holiday",,
2018-01-01 21:00:00,="MAC030004473",1,"Channel 1",2,"East",336,16,"Holiday",,
